PRÊT: OUI, E, EUX, MILIEU, GAUCHE, APPUIE, DROITE, VIDE, PRÊT, NON, PREMIER, EUHHH, RIEN, ATTENDS
PREMIER: GAUCHE, E, OUI, MILIEU, NON, DROITE, RIEN, EUHHH, ATTENDS, PRÊT, VIDE, EUX, APPUIE, PREMIER
NON: VIDE, EUHHH, ATTENDS, PREMIER, EUX, PRÊT, DROITE, OUI, RIEN, GAUCHE, APPUIE, E, NON, MILIEU
VIDE: ATTENDS, DROITE, E, MILIEU, VIDE, APPUIE, PRÊT, RIEN, NON, EUX, GAUCHE, EUHHH, OUI, PREMIER
RIEN: EUHHH, DROITE, E, MILIEU, OUI, VIDE, NON, APPUIE, GAUCHE, EUX, ATTENDS, PREMIER, RIEN, PRÊT
OUI: E, DROITE, EUHHH, MILIEU, PREMIER, EUX, APPUIE, PRÊT, RIEN, OUI, GAUCHE, VIDE, NON, ATTENDS
EUX: EUHHH, EUX, GAUCHE, RIEN, PRÊT, VIDE, MILIEU, NON, E, PREMIER, ATTENDS, OUI, APPUIE, DROITE
EUHHH: PRÊT, RIEN, GAUCHE, EUX, E, OUI, DROITE, NON, APPUIE, VIDE, EUHHH, MILIEU, ATTENDS, PREMIER
GAUCHE: DROITE, GAUCHE, PREMIER, NON, MILIEU, OUI, VIDE, EUX, EUHHH, ATTENDS, APPUIE, PRÊT, E, RIEN
DROITE: OUI, RIEN, PRÊT, APPUIE, NON, ATTENDS, EUX, DROITE, MILIEU, GAUCHE, EUHHH, VIDE, E, PREMIER
MILIEU: VIDE, PRÊT, E, EUX, RIEN, APPUIE, NON, ATTENDS, GAUCHE, MILIEU, DROITE, PREMIER, EUHHH, OUI
E: MILIEU, NON, PREMIER, OUI, EUHHH, RIEN, ATTENDS, E, GAUCHE, PRÊT, VIDE, APPUIE, EUX, DROITE
ATTENDS: EUHHH, NON, VIDE, E, OUI, GAUCHE, PREMIER, APPUIE, EUX, ATTENDS, RIEN, PRÊT, DROITE, MILIEU
APPUIE: DROITE, MILIEU, OUI, PRÊT, APPUIE, E, RIEN, EUHHH, VIDE, GAUCHE, PREMIER, EUX, NON, ATTENDS
TOI: OK, THON, TON, TONS, SUIVANT, AVANT, T'ES, MAINTIENS, QUOI ?, TOI, QUOI, COMME, FAIT, TES
THON: TON, SUIVANT, COMME, AVANT, QUOI ?, FAIT, QUOI, MAINTIENS, TOI, TES, TONS, OK, T'ES, THON
TON: QUOI, THON, AVANT, TON, SUIVANT, T'ES, OK, TES, TONS, TOI, QUOI ?, MAINTIENS, COMME, FAIT
TONS: TOI, TONS, T'ES, SUIVANT, QUOI, THON, TES, TON, QUOI ?, AVANT, OK, FAIT, COMME, MAINTIENS
T'ES: FAIT, TES, T'ES, AVANT, QUOI ?, OK, TON, MAINTIENS, TONS, COMME, SUIVANT, QUOI, THON, TOI
TES: AVANT, OK, SUIVANT, QUOI ?, TONS, T'ES, QUOI, FAIT, TES, TOI, COMME, MAINTIENS, THON, TON
AVANT: AVANT, TON, THON, TOI, FAIT, MAINTIENS, QUOI, SUIVANT, OK, COMME, TONS, T'ES, TES, QUOI ?
QUOI: T'ES, TES, THON, TONS, SUIVANT, QUOI, FAIT, TOI, AVANT, COMME, TON, OK, MAINTIENS, QUOI ?
QUOI ?: TOI, MAINTIENS, TONS, TON, TES, FAIT, QUOI, COMME, THON, AVANT, T'ES, SUIVANT, QUOI ?, OK
FAIT: OK, AVANT, SUIVANT, QUOI ?, TON, T'ES, TONS, MAINTIENS, COMME, TOI, TES, THON, QUOI, FAIT
SUIVANT: QUOI ?, AVANT, QUOI, TON, MAINTIENS, OK, SUIVANT, COMME, FAIT, THON, T'ES, TONS, TES, TOI
MAINTIENS: THON, TES, FAIT, QUOI, TOI, T'ES, OK, QUOI ?, TONS, SUIVANT, MAINTIENS, AVANT, TON, COMME
OK: THON, FAIT, COMME, TONS, TOI, MAINTIENS, AVANT, T'ES, OK, TES, QUOI ?, SUIVANT, TON, QUOI
COMME: TONS, SUIVANT, TES, T'ES, MAINTIENS, FAIT, QUOI, QUOI ?, AVANT, TOI, COMME, OK, THON, TON
